,Unnamed: 0,name,location,address,type,rating
132,404,Pawikan Restaurant,Puerto Princesa," | Daluyon Beach and Mountain Resort, Sabang Beach, Brgy. Cabayugan, Sabang, Puerto Princesa, Palawan Island 5300, Philippines","Filipino, Asian, International",4.5
133,398,"Tong Yang Plus, SM City Bicutan",Parañaque,"UGF, Building B, SM City Bicutan, Dona Soledad Ave. cor. West Service Road, Bicutan,, Paranaque, Luzon 1700, Philippines","Japanese, Filipino, International",4.5
135,394,Kiwa,Parañaque,"1 Aseana Avenue | Solaire Resort & Casino, Paranaque, Luzon 1701, Philippines","Barbecue, Asian, Korean",4.5
136,245,Senoritas Mexinoy Kitchen,Lucena,"Bonifacio Blvd. Pleasantville Subd., Lucena City, Luzon, Philippines","Mexican, Filipino, Bar",4.5
137,392,S&R New York Style Pizza,Parañaque,"Pres. Diosdado Macapagal Boulevard, Paranaque, Luzon 1701, Philippines","Pizza, Italian",4.5
138,391,Ramboy's Restaurant,Parañaque,"Presidents Avenue | BF Homes, Paranaque, Luzon, Philippines","Filipino, Asian",4.5
139,370,Bamba Bistro,Parañaque,"55 Aguirre Avenue Corner, Paranaque, Luzon 1720, Philippines","Italian, American, Contemporary",4.5
141,251,"Sea Isle Bar, Grill, and Restaurant",Lucena,"Blk 12, Lot 2, Dona Aurora Blvd., Gulang-Gulang, Lucena City, Luzon, Philippines","Filipino, Asian, Seafood",4.5
142,389,Enbu,Parañaque,"New Seaside Dr | Okada Manila, Paranaque, Luzon 1701, Philippines","Japanese, Sushi",4.5
143,388,Jing Ting,Parañaque,"Aseana Boulevard corner Macapagal Avenue | Upper Ground Floor, City of Dreams Manila, Paranaque, Luzon 1701, Philippines","Chinese, Asian",4.5
144,382,Luk Foo,Parañaque,"Airport Road | Puregold Mall, Paranaque, Luzon, Philippines","Chinese, Asian, Vegetarian Friendly",4.5
106,353,Tatsunoko,Parañaque,"452 El Grande Street | BF Homes, Paranaque, Luzon, Philippines","Japanese, Asian",4.5
145,261,Ninyo Fusion Cuisine,Marikina,"66 Esteban Abada Street | Loyola Heights, Quezon City, Luzon, Philippines","Asian, Japanese, Vegetarian Friendly",4.5
146,266,Ca Phe Saigon,Marikina,"14 Red Cedar Street, Marikina, Luzon 1801, Philippines"," Asian, Vietnamese, Vegetarian Friendly",4.5
127,408,Pergola,Puerto Princesa,"Rizal Avenue, Puerto Princesa, Palawan Island 5300, Philippines","Asian, Thai, Vegetarian Friendly",4.5
140,250,Reasons,Lucena,"Quezon Avenue cor Barcelona St., Lucena City, Luzon, Philippines","Filipino, Asian, Mexican",4.5
115,338,Rali's Restaurant,Olongapo,"Argonaut Highway | Malawaan Park, Subic Bay Freeport Zone, Luzon 2222, Philippines","International, Italian, Spanish",4.5
116,321,M Soledad Restaurant,Naga,"La Piazza, Corner Magsaysay, Naga, Luzon 4400, Philippines","Filipino, Asian, Spanish",4.5
110,340,Shamboli's,Olongapo,"National Road, Olongapo, Luzon 2200, Philippines","Pizza, Vegetarian Friendly",4.5
111,366,Maty's Tapsilog & Bbq,Parañaque,"Quirino Avenue | Don Galo, Paranaque, Luzon 1700, Philippines","Filipino, Barbecue, Asian",4.5
112,339,Wild Herbs Restaurant,Olongapo,"67 National Highway, Barrio Barretto, Olongapo, Luzon 2200, Philippines","Asian, Thai, Vegetarian Friendly",4.5
113,315,Thomson Road Chinese Bistro,Muntinlupa,"Molito Commercial Complex, Muntinlupa, Luzon 1781, Philippines",Chinese,4.5
108,346,Texas Joe's House of Ribs,Olongapo,"Waterfront Rd. | cor. Mc. Kinley St., Subic Bay Freeport Zone, Luzon 2222, Philippines","Steakhouse, American, Southwestern",4.5
114,317,Naga Oriental Wok,Naga,"Avenue Square, Magsaysay Avenue, Naga, Luzon 4400, Philippines",Chinese,4.5
125,410,The Orange Gecko-Tagu'an,Puerto Princesa,"129 Villa Rosa Rd, Bancao-Bancao | Lala Panzi, Puerto Princesa, Palawan Island 5300, Philippines","International, European, Vegetarian Friendly",4.5
117,322,Bistro Roberto,Naga,"Magsaysay Avenue, Naga, Luzon 4400, Philippines",Asian,4.5
118,323,Green Earth Café,Naga,"Soriano Ave | Villa Sorabella Subd., Naga, Luzon 4400, Philippines","Asian, Vegan Options, Vegetarian Friendly",4.5
119,335,Pirates Bistro,Olongapo,"532 Waterfront Road, Subic Bay Freeport Zone, Luzon 2222, Philippines"," Bar, International, Caucasian",4.5
120,325,The Coffee Table,Naga,"Catmon II Street | 2nd Floor Adc Hotel, Magsaysay Avenue, Naga, Luzon 4400, Philippines","Cafe, American",4.5
121,334,Sit-n-Bull Bar & Grill,Olongapo,"14 Del Pilar St | Barretto, Olongapo, Luzon 2200, Philippines","American, Bar, Italian",4.5
122,333,Mango's Beach Bar and Restaurant,Olongapo,"Barrio Barretto 116 National Hwy | Barrio Barretto, Olongapo, Luzon 2200, Philippines","Seafood, Grill, Filipino",4.5
107,352,The Tasting Room,Parañaque,"Aseana Boulevard corner Macapagal Avenue | Ground Floor, Nüwa, City of Dreams Manila, Paranaque, Luzon 1701, Philippines","nternational, European",4.5
123,364,Aroi,Parañaque,"4 President Ave, Paranaque, Luzon 1700, Philippines",Thai,4.5
124,367,Mensakaba Geishu,Parañaque,"Aguirre Avenue, BF Home, Paranaque, Luzon, Philippines","Japanese, Asian, Soups",4.5
109,305,Hatsune,Muntinlupa," | 2nd Flr. The Bellevue Manila, Muntinlupa, Luzon, Philippines","Japanese, Vegetarian Friendly",4.5
238,253,Barrio Fiesta,Makati,"Makati Ave. cor. Valdez St, Makati, Luzon, Philippines",Southeast Asian,4.3
240,256,Korean Palace Restaurant,Manila,"cnr M Adriatico & Remedios Sts | Malate, Manila, Luzon, Philippines","Korean, Barbecue",4.2
245,254,Tim Ho Wan,Makati,"Glorietta 3 | Ayala Center, Makati, Luzon, Philippines",Other Chinese Cuisine,4.1
385,278,8 Cuts Burger Blends,Muntinlupa,"Alabang Town Center G/F Commerce Avenue | Ground Floor, Alabang Town Center, Muntinlupa, Luzon 1780, Philippines"," American, Diner",4.0
377,208,Willkommen Cafe and Restaurant,Legazpi,"Benny Imperial St. | Pvlb 7, Casablanca Suites, Legazpi, Luzon 4500, Philippines","International, European",4.0
376,210,Max's Restaurant,Legazpi,"Ground Floor, Pacific Mall | Landco Business Park, Corner Circumferential Road and F. Imperial Street, Legazpi, Luzon, Philippines","Filipino, Asian",4.0
378,212,La Mia Tazza Coffee,Legazpi,"Embacadero de Legaspi | Near Provincial Capitol, Legazpi, Luzon 4500, Philippines",Cafe,4.0
375,92,Share Café,Batangas,"Manuela Q Pastor Avenue | Share Cafe Building, Pallocan West, Batangas City, Luzon 4200, Philippines","Italian, American, Filipino",4.0
379,299,Yabu,Muntinlupa,"Alabang_Zapote Road | Alabang Town Center 2F, Muntinlupa, Luzon, Philippines",Japanese,4.0
380,297,Crisostomo Restaurant,Muntinlupa,"Alabang Town Center, Muntinlupa, Luzon, Philippines","Filipino, Asian",4.0
381,296,Alba Restaurante,Muntinlupa,"Westgate Center | Filicity, Alabang, Muntinlupa, Luzon, Philippine","Spanish, European",4.0
382,295,Hanamaruken Ramen,Muntinlupa,"Alabang-Zapote Road | Second Floor, New Wing, Alabang Town Center, Muntinlupa, Luzon 1700, Philippines","Japanese, Asian, Soups",4.0
383,280,Sushi Ninja,Muntinlupa,"Filinvest Avenue | Westgate Centre, Alabang, Muntinlupa, Luzon 1700, Philippines","Japanese, Sushi, Asian",4.0
384,279,Bar Pintxos Tapas y Mas,Muntinlupa,"Don Jesus Boulevard | Ground Floor, Don Gesu Bldg., Muntinlupa, Luzon 1700, Philippines","Spanish, European, Pub",4.0
396,300,Manong's Bar and Grill,Muntinlupa,"22 Spectrum Midway Filinvest Corporate City, Muntinlupa, Luzon, Philippines","Filipino, Bar, Asian",4.0
386,276,Cafe d' Asie,Muntinlupa,"North Bridgeway | The Bellevue Hotels and Resorts, Filinvest City, Muntinlupa, Luzon 1781, Philippines",International,4.0
387,275,The Perfect Pint,Muntinlupa,"Madrigal Avenue | Molito Commercial Complex, Muntinlupa, Luzon, Philippines","Bar, Pub",4.0
388,274,The Cafe Mediterranean,Muntinlupa,"Second Floor Alabang Town Center, Muntinlupa, Luzon 1770, Philippines","Mediterranean, Greek, Middle Eastern",4.0
389,273,Gino's Brick Oven Pizza,Marikina,"Katipunan, Quezon City, Luzon, Philippines","Italian, Pizza",4.0
390,271,Cafe Xocolat,Marikina,"172 B. Gonzales Street | Loyola Heights, Quezon City, Luzon 1100, Philippines",Cafe,4.0
391,270,Pino Resto Bar,Marikina,"39 Malingap Street | Teacher's Village, Quezon City, Luzon 1101, Philippines","Filipino, Asian, Vegetarian Friendly",4.0
392,269,Bellini's Italian Restaurant,Marikina,"# 310 Shoe Ave | Cubao, Quezon City, Marikina, Luzon 1800, Philippines","Italian, Pizza, Vegetarian Friendly",4.0
393,268,Cafe Qizia,Marikina,"SDS Medical Center Compound | Katipunan Ext. Cor Pio del Pilar Street Concepcion II, Marikina, Luzon, Philippines"," Italian, Filipino, Cafe",4.0
394,213,Boklan Food Center,Legazpi,"66 Elizondo Street, Legazpi, Luzon 4500, Philippines","Chinese, Filipino, Asian",4.0
395,298,Union Jack Tavern - Alabang,Muntinlupa," | LGF Festival Expansion Wing, beside Water Garden River / near Alabang-Zapote Rotunda Parking, Muntinlupa, Luzon 1770, Philippines","British, Gastro, Pub, Vegetarian Friendly",4.0
350,117,Bistro 360,Cabanatuan,"General Tinio Street, Cabanatuan City, Luzon 3100, Philippines","Filipino, American, Asian",4.0
372,87,Irene's Bulalo sa Kubo,Batangas,"National Highway, Alangilan, Batangas City, Luzon 4200, Philippines","Filipino, Asian",4.0
359,93,Greenwich - SM City Batangas,Batangas,"SM City Batangas | Pallocan West, Batangas City, Luzon 4200, Philippines",Pizza,4.0
349,120,Joey's,Cabanatuan,"Gen. Luna Street, Cabanatuan City, Luzon 3100, Philippines","Filipino, Asian",4.0
398,301,Omakase,Muntinlupa,"Molito Complex | Alabang, Muntinlupa, Luzon, Philippines","Japanese, Sushi, Asian",4.0
351,94,D' Brothers Sports Bar & Grill,Batangas,"G.C Berberabe Subdivision, Batangas City, Luzon 4200, Philippines","Bar, Pub",4.0
352,113,Hap Chan,Cabanatuan,"Daang Maharlika Highway, Cabanatuan City, Luzon 3100, Philippines","Chinese, Asian",4.0
353,111,Lamarang Restaurant,Cabanatuan,"Circumferential Road, Cabanatuan City, Luzon 3100, Philippines",Filipino,4.0
354,109,Hapag Vicenticos,Cabanatuan,"1077 Del Pilar Street, Cabanatuan City, Luzon 3100, Philippines","Filipino, Asian, Vegetarian Friendly",4.0
356,99,Johanna's Grill,Batangas,"P. Burgos St. Brgy 12 Batangas City, Batangas City, Luzon 4200, Philippines","Filipino, American, Steakhouse",4.0
363,79,Canto Bogchi Joint,Baguio,"# 32 Kisad Road, Baguio, Luzon 2600, Philippines","Barbecue, Vegan Options",4.0
364,81,Rose Bowl,Baguio,"Upper Gen. Luna Rd., Baguio, Luzon 2600, Philippines","Chinese, Asian",4.0
365,82,Grumpy Joe,Baguio,"Leonard Wood Road, Baguio, Luzon 2600, Philippines","Italian, American, Pizza",4.0
367,83,SAGE CAFE Baguio,Baguio,"#95 | Military Cut-off, Baguio, Luzon 2600, Philippines","American, Filipino, International",4.0
370,84,Chef's Home,Baguio,"13 Outlook Drive,, Baguio, Luzon, Philippines","Asian, Malaysian",4.0
397,264,Tapsi ni Vivian,Marikina,"32 Gil Fernandez Ave., Marikina, Luzon, Philippines","Filipino, Asian",4.0
445,241,Irori Japanese Restaurant,Lipa,"Banay-banay, Concepcion, Lipa City, Lipa City, Luzon 4217, Philippines","Japanese, Sushi",4.0
399,327,Graceland,Naga,"SM City Naga, Naga, Luzon 4400, Philippines","Filipino, Fast Food, Asian",4.0
436,238,McDonald's,Lipa,"Katipunan Street, Lipa City, Luzon, Philippines","American, Fast Food",4.0
426,9,Krung Thai,Antipolo,"Corner M. Cruz and W. Paz Streets, Marikina, Luzon, Philippines","Asian, Thai, Vegetarian Friendly",4.0
427,221,Small Talk Café,Legazpi,"051 Dona Aurora Street, Legazpi, Luzon 4500, Philippines","Filipino, Cafe, Asian",4.0
428,220,1st Colonial Grill,Legazpi," | 1st Floor, Gaisano Mall, Legazpi, Luzon, Philippine","Filipino, Asian, Vegetarian Friendly",4.0
429,219,Sibid-Sibid,Legazpi,"328 Penaranda Extension | (North side of town, opposite Waway restaurant), Legazpi, Luzon, Philippines","Filipino, Seafood, Asian",4.0
430,217,DJC Halo Halo,Legazpi,"Landco Business Park, Legazpi, Luzon, Philippines",Filipino,4.0
431,216,Waway's,Legazpi,"Penaranda Extension, Legazpi, Luzon 4500, Philippines","Filipino, Asian",4.0
432,215,Bob Marlin Restaurant,Legazpi,"730 J Rizal St | Brgy 17, Old Albay, Legazpi, Luzon 4500, Philippines","Filipino, Asian, Vegetarian Friendly",4.0
433,235,Uncle Cheffy's,Lipa,"Ayala Ave, Lipa City, Luzon, Philippines","American, Asian",4.0
434,233,The Bee Hive Farm and Kitchen,Lipa,"17 Purok 2 Tambo, Lipa City, Luzon 04217, Philippines",American,4.0
435,4,Vikings Luxury Buffet,Antipolo,"SM City Marikina, Marikina, Luzon, Philippines","Mexican, Filipino, Grill",4.0
437,259,The Alley,Marikina,"Katipunan Avenue | 2F U.P. Town Center, Ayala Mall, Central Diliman, Quezon City, Luzon 1101, Philippines","Steakhouse, Filipino, International",4.0
400,324,Geewan,Naga,"P. Burgos Street, Naga, Luzon 4400, Philippines","Filipino, Asian",4.0
438,258,Wooden Spoon,Marikina,"Katipunan Avenue, Quezon City, Luzon, Philippines"," Filipino, Asian, Vegetarian Friendly",4.0
439,255,Italianni's,Makati,"Rosa St., Makati, Luzon, Philippines",Western-style,4.0
440,252,Shakeys,Lucena,"Pan - Philippines Highway, Lucena City, Luzon, Philippines",Pizza,4.0
441,249,Bubbles Crispy Pata and Restaurant,Lucena,"Corner Lakandula Granja St., Lucena City, Luzon, Philippines","Filipino, Asian",4.0
442,247,Catalino's Café and Restaurant,Lucena,"Gulang-Gulang, Lucena City, Luzon City, Philippines","Filipino, Asian",4.0
443,246,Buddys Pizza,Lucena,"214 Quezon Avenue, cor Leon Guinto, Lucena City, Luzon, Philippines","Filipino, Asian, Pizza",4.0
444,244,Purple Thyme Bistro,Lucena,"Southpoint Plaza, Citywalk, Maharlika Highway, RedV, Lucena City, Luzon, Philippines","Italian, American, Filipino",4.0
446,240,The Coffee Bean & Tea Leaf,Lipa,"Victoria | JP Laurel Highway, Mataas na Lupa, Lipa City, Luzon 4217, Philippines","American, Cafe",4.0
447,239,Banay Banay Eatery,Lipa,"Banay banay, Lipa City, Luzon, Philippines","Filipino, Asian",4.0
347,97,Hungry Hippo,Batangas,"University of Batangas | National Road, Batangas City, Luzon 4200, Philippines",American,4.0
425,223,Colonial Grill,Legazpi,"F. Imperial St | Albay 1/F Pacific Mall, Legazpi, Luzon, Philippines","Filipino, Asian, Vegetarian Friendly",4.0
424,224,Liam's Lomi House,Lipa,"Gen. Luna St. Brgy. Sabang, Lipa City, Luzon 4217, Philippines","Filipino, Asian",4.0
423,225,D'Ursi Pizza Autentica Pizzeria Napoletana,Lipa,"Pilahan Street | Sabang, Lipa City, Luzon 4217, Philippines","Italian, Pizza, European",4.0
422,7,HEAT,Antipolo,"1 Garden Way | Ortigas Center, Mandaluyong, Luzon 1550, Philippines","Chinese, American, Asian",4.0
401,320,Baker's Plaza,Naga,"P. Burgos Corner General Luna St, Naga, Luzon 4400, Philippines","Dessert, Filipino, Asian",4.0
402,319,Que Pasa,Naga,"Barlin Street, Naga, Luzon 4400, Philippines","Filipino, Spanish, Asian",4.0
403,318,Maki Yaki The Japanese Restaurant,Naga,"Unit 107 Ground floor Avenue lifestyle Center, Avenue Square | Ext cor. Magsaysay Ave, Naga, Luzon 4400, Philippines","Japanese, Asian, Sushi",4.0
404,314,Appenzeller Bar & Restaurant,Muntinlupa,"Estrellita Bldg II, Alabang-Zapote Road | Alabang, Muntinlupa, Luzon, Philippines","Bar, European, Pub",4.0
405,313,Shi Lin Taiwanese Restaurant,Muntinlupa,"Alabang Town Center, Muntinlupa, Luzon, Philippines","Chinese, Asian, Taiwanese",4.0
406,312,Cibo,Muntinlupa,"2/F Alabang Town Center, Alabang-Zapote Rd | Alabang, Muntinlupa, Luzon 1780, Philippines","Italian, Pizza, European",4.0
407,309,Draft,Muntinlupa,"Alabang Zapote Road | Molito Commercial, Building 6 Cluster 1 - Unit 1, Muntinlupa, Luzon 1742, Philippines","Bar, Pub, European",4.0
408,308,Coco Hut,Muntinlupa,"Commerce Avenue | Commerce Center, Muntinlupa, Luzon 1790, Philippines","Filipino, Fast Food, Asian",4.0
409,307,Miyazaki,Muntinlupa,"Madrigal Avenue | Lifestyle Extension Bldg 7, Muntinlupa, Luzon 1780, Philippines","Japanese, Sushi, Asian",4.0
410,304,Soga Miga Korean Restaurant,Muntinlupa,"Molito | Alabang Molito Commercial Complex, Muntinlupa, Luzon 1781, Philippines","Asian, Korean",4.0
411,303,Romulo Café,Muntinlupa,"2205 Market St. | Azumi Boutique Hotel, Madrigal Business Park, Muntinlupa, Luzon 1780, Philippines","Filipino, Asian, Vegetarian Friendly",4.0
412,302,Acaci,Muntinlupa,"Acacia Hotel Manila | 5400 East Asia Drive, Muntinlupa, Luzon, Philippines","International, Asian",4.0
413,3,Cafe Lidia,Antipolo,"64 Calderon St. Calumpang, Marikina, Luzon, Philippines","Italian, Pizza, Cafe",4.0
414,265,Miguel & Maria Restaurant,Marikina,"89 Lilac St | Concepcion Dos, Marikina, Luzon 1800, Philippines","American, Bar, Pub",4.0
415,267,Provenciano,Marikina,"110 Maginhawa Street, Quezon City, Luzon 1101, Philippines"," Filipino, Asian, Vegetarian Friendly",4.0
416,262,Silantro,Marikina,"Katipunan Avenue | B315 & B329, Second Floor, UP Town Center, Quezon City, Luzon, Philippines","Mexican, Bar",4.0
417,236,Big Belly's,Lipa,"Tambo, Lipa City, Luzon, Philippines",Asian,4.0
418,6,Din Tai Fung,Antipolo,"EDSA corner J. Vargas Avenue | G/F Mega Fashion Hall, SM Megamall, Mandaluyong, Luzon 1860, Philippines","Chinese, Asian, Taiwanese",4.0
419,260,Tamagoya Noodle House,Marikina,"2 Soliven Avenue, Antipolo City, Luzon 1803, Philippines"," Japanese, Asian, Soups",4.0
420,229,Cafe de Lipa,Lipa,"SM Lipa, Ayala Highway, Lipa City, Luzon, Philippines",Café,4.0
421,228,Fat Grill,Lipa,"B Morada Street, Lipa City, Luzon 4217, Philippines","Filipino, Asian",4.0
348,121,Caffe La Tea,Cabanatuan,"168 Mabini Street | Justo Building, Cabanatuan City, Luzon 3100, Philippines","Cafe, Filipino",4.0
250,349,Pier One Bar and Grill,Olongapo,"Moonbay Marina | Waterfront Road, Subic Bay Freeport Zone, Luzon, Philippines","Filipino, Bar, Pub",4.0
282,467,Nathaniel's Bakeshop,San Fernando Pampanga,"Km 69 Olongapo Gapan Road Dolores, San Fernando, Luzon 2000, Philippines","Filipino, Asian",4.0
272,487,Bulalo Point,Tagaytay,"Nasugbu -Tagaytay Road, Tagaytay, Luzon, Philippines","Filipino, Asian",4.0
273,485,Don Limone Grill,Tagaytay,"4870 Gen. Emilio Aguinaldo, Mendez Crossing | Tagaytay City, Tagaytay, Luzon 4120, Philippines", Mediterranean,4.0
274,455,Kabigting's Halo Halo,San Fernando Pampanga,"2nd flr. Nepo Mall Angeles | Marquee Mall & Guagua, San Fernando, Luzon, Philippines","Filipino, Asian",4.0
275,457,Coffee Project,San Fernando Pampanga,"2000 MacArthur Highway | Vista Mall Pampanga, San Fernando, Luzon 2000, Philippines",Cafe,4.0
276,481,"Concha's Garden Cafe - Cliffhouse, Tagaytay",Tagaytay,"Km 58 Marharlika East Aguinaldo | Cliffhouse, Tagaytay City, Tagaytay, Luzon, Philippines","Filipino, Asian",4.0
277,480,The Original Hawaiian Bar-B-Que,Tagaytay,"The Boutique Bed and Breakfast | 45 Aguinaldo Highway, Crossing East, Tagaytay, Luzon, Philippines","Barbecue, American, Seafood",4.0
278,478,Rowena's Cafe,Tagaytay,"#152 Brgy Francisco, Tagaytay, Luzon, Philippines", ,4.0
280,462,Susie's Cuisine,San Fernando Pampanga,"MacArthur Highway | Dolores, San Fernando, Pampanga, San Fernando, Luzon 2000, Philippines","Filipino, Asian",4.0
283,439,Badjao Seafront Restaurant,Puerto Princesa,"Abueg Road, Puerto Princesa, Palawan Island 5300, Philippines","Filipino, Seafood, Asian",4.0
295,496,Sonya's Secret Garden,Tagaytay,"Barangay Buck Estate, Alfonso, Cavite, Tagaytay, Luzon, Philippines","Filipino, Vegetarian Friendly, Vegan Options",4.0
284,494,Marcia Adams Restaurant,Tagaytay,"J.P.Rizal St, Brgy Sikat, Tagaytay, Luzon, Philippines","Mediterranean, European, International",4.0
285,495,Balay Dako,Tagaytay,"Tagaytay-Nasugbu Highway, Tagaytay, Luzon 4120, Philippines","Filipino, Asian, Vegetarian Friendly",4.0
288,393,Mulligan's,Parañaque,"Aguirre Ave, Paranaque, Luzon, Philippines","Irish, Bar, Pizza",4.0
291,396,Kiapo,Parañaque,"Okada Manila Seaside Drive | Entertainment City, Paranaque, Luzon 1701, Philippines","Filipino, Asian, Vegetarian Friendly",4.0
271,452,Bale Capampangan,San Fernando Pampanga,"Km 69 MacArthur Highway | Dolores, San Fernando, Luzon 2000, Philippines","Filipino, Asian, Vegetarian Friendly",4.0
345,95,Jovita Cafe,Batangas,"JPMM Extension Diversion Road | Santa Clara, Batangas City, Luzon 4200, Philippines","Filipino, Cafe, Healthy",4.0
269,488,LZM Restaurant,Tagaytay,"Cavite Magallanes Square, Maharlika East, Tagaytay, Luzon, Philippines","Filipino, Asian",4.0
268,489,Breakfast at Antonio's,Tagaytay,"Aguinaldo Highway | Barangay Bagong Tubig, Tagaytay, Luzon, Philippines","Filipino, International, Vegetarian Friendly",4.0
246,538,Nay's House,Tarlac,"Romulo Boulevard, Tarlac, Luzon, Philippines","Filipino, Asian",4.0
247,331,Grissini Ristorante,Naga,"Cereza, Magsaysay Ave., Naga, Luzon 4400, Philippines","Italian, Pizza, European",4.0
248,356,Mandarin Palace,Parañaque,"142 Aguirre Avenue | BF Homes, Paranaque, Luzon 1700, Philippines","Chinese, Asian, Seafood",4.0
249,351,Cheap Charlies Bar,Olongapo,"89 National Highway | Barrio Barretto, Olongapo, Luzon 2200, Philippines","International, Pub",4.0
251,347,The Coffee Shop,Olongapo,"2 Rizal Barretto, Olongapo, Luzon, Philippines","Filipino, Asian, International",4.0
252,345,Coco Lime,Olongapo,"Harbor Point, Rizal Highway, Central Business District | Subic, Zambales, Luzon 2222, Philippines","Filipino, Asian, Vegetarian Friendly",4.0
253,344,Sands Resto Grill,Olongapo,"Waterfront Rd. Moonbay Marina Complex | The Lighthouse Marina and Resort, Subic Bay Freeport Zone, Luzon 2222, Philippines","Filipino, Asian",4.0
254,343,Chef Samurai,Olongapo,"Samson Road | Lot 2 Raymundo Road Corner, Subic Bay Freeport Zone, Luzon, Philippines","Japanese, Sushi, Asian",4.0
255,342,Xtremely Xpresso Cafe,Olongapo,"#1 Dewey Avenue,, Subic Bay Freeport Zone, Luzon 2200, Philippines","Pizza, Cafe, Italian",4.0
256,543,Victor's Barbeque And Lechon Manok,Tarlac,"McArthur Highway, Luzon, Philippines","Filipino, Asian, Barbecue",4.0
257,544,Kamayan sa PalaIsdaan Restaurant,Tayabas,"Brgy. Dapdap, Tayabas-Lucban Road, Tayabas City, Luzon, Philippines","Asian, Filipino,  Seafood",4.0
258,337,Cocolime,Olongapo,"Harbor point mall, Subic Bay Freeport Zone, Luzon, Philippines","Filipino, Asian, Vegetarian Friendly",4.0
259,336,Meat Plus Cafe,Olongapo,"Sampson Rd, Subic Bay Freeport Zone, Luzon 2222, Philippines","American, Steakhouse",4.0
260,547,Mi Casa en Tayabas,Tayabas,"73M. Ponce, San Roque, Zone 1, Tayabas City, Luzon, Philippines","Filipino, Asian, Fruit Parlours",4.0
261,332,Chef Doy's,Naga,"nside Cereza along Magsaysay Avenue, Naga, Luzon, Philippines","Filipino, Asian, Vegetarian Friendly",4.0
262,350,Harley's Pub and Hotel,Olongapo,"Baloy Beach | Barrio Barretto, Olongapo, Luzon 2200, Philippines","Bar, International, Pub",4.0
264,372,Apu,Parañaque,"Aseana Boulevard corner Macapagal Avenue | Upper Ground Level, The Shops at the Boulevard, City of Dreams Manila, Paranaque, Luzon 1701, Philippines","Filipino, Asian",4.0
265,528,Meats and Match Tanauan,Tanauan,"2nd Flr. R-Venue Bldg. Poblacion 3, Tanauan City, Luzon, Philippines",Café,4.0
266,441,Lale Restaurant,Puerto Princesa,"Bgy. San Pedro 8 D.Delos Reyes Rd | LGQ Building, Puerto Princesa, Palawan Island 5300, Philippines","Indian, Asian, Thai",4.0
267,443,Viet Ville,Puerto Princesa,"Brgy Sta. Lourdes, Puerto Princesa, Palawan Island, Philippines","Asian, Vietnamese, Vegetarian Friendly",4.0
294,411,Matiz Restaurant and Tapas Bar,Puerto Princesa,"Km 3 San Manuel Road, Puerto Princesa, Palawan Island 5300, Philippines","Spanish, Vegetarian Friendly",4.0
270,451,La Taperia De Ari,San Fernando Pampanga,"C/ Mineras 10, San Fernando, Luzon 11100, Philippines","Filipino, Spanish, Asian",4.0
296,414,Ka Inato,Puerto Princesa,"National Highway | Bgy. San Jose, Puerto Princesa, Palawan Island 5300, Philippines"," Filipino, Seafood, Barbecue",4.0
323,31,Cafe Mary Grace,Bacoor,"Foodstreet, SM Southmall, Las Pinas, Luzon, Philippines","Dessert, Filipino, Cafe",4.0
324,189,Another Story,Las Piñas,"Daang Hari | 2nd Floor, Evia Lifestyle Center, Las Pinas, Luzon 1750, Philippines",Vegetarian Friendly,4.0
325,11,Rustic Mornings by Isabelo,Antipolo,"11 Isabelo Mendoza Street, Marikina, Luzon, Philippines","Filipino, Cafe, Vegetarian Friendly",4.0
326,209,Diy Burgers,Legazpi,"701 Rizal Street, Legazpi, Luzon 4500, Philippines","American, Bar, Pub",4.0
327,207,Kamias,Legazpi,"Alternate Road, Legazpi, Luzon, Philippines","Filipino, Asian",4.0
328,204,Bojangles Grill & Gym,Las Piñas,"Dona Pilar Aguirre Ave, Las Pinas, Luzon 0046, Philippines","Filipino, Bar, Asian",4.0
329,203,The Rib Shack,Las Piñas,"71 Presidents Avenue | PDC Compound Rose Ave cor Aguirre Ave, Las Pinas, Luzon 1740, Philippines", ,4.0
330,201,Sojubang,Las Piñas,"Alabang - Zapote Road | Almanza I, in front of Almanza Elementary School, Las Pinas, Luzon, Philippines","Asian, Korean",4.0
331,200,TGI Friday's,Las Piñas,"Daang Hari | inside Evia Lifestyle Center, Las Pinas, Luzon 1750, Philippines","American, Filipino, Asian",4.0
332,21,Sambokojin,Bacoor,"Alabang Zapote Road | SM South Mall, Las Pinas, Luzon, Philippines","Japanese, Korean, Vegetarian Friendly",4.0
333,190,Teppanya,Las Piñas,"Evia Lifestyle Center Second Floor Daang Hari, Las Pinas, Luzon 1750, Philippines","Japanese, Sushi, Asian",4.0
334,197,Shakey's,Las Piñas,"SM Southmall, Alabang-Zapote Road, Las Pinas, Luzon, Philippines","Pizza, American",4.0
335,195,Yabu House of Katsu,Las Piñas,"Alabang-Zapote Road | Ground Level, SM South Mall, Las Pinas, Luzon, Philippines","Japanese, Asian",4.0
336,194,Tenya Tempura Tendon,Las Piñas,"Food Street | SM Southmall, Upper Ground Floor, Almanza, Las Pinas, Luzon 1747, Philippines",Japanese,4.0
337,23,Mama Lou's Italian Kitchen,Bacoor,"Blk 16 Lot 36 Tropical cor Palace st, Las Pinas, Luzon 1700, Philippines","Italian, Pizza, Vegetarian Friendly",4.0
